Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1049999318,1076774079,1103704408,1131090888
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1169015451,1199011925,1229208573,1259902353
Sudan,SDN,"Population, total",SP.POP.TOTL,46789231,48066924,49383346,50042791
Suriname,SUR,"Population, total",SP.POP.TOTL,612317,617896,623164,628886
Sweden,SWE,"Population, total",SP.POP.TOTL,10353442,10415811,10486941,10536632
Switzerland,CHE,"Population, total",SP.POP.TOTL,8638167,8704546,8777088,8888093
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,21049429,21628839,22462173,23594623
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9749310,9966908,10182222,10389799
Tanzania,TZA,"Population, total",SP.POP.TOTL,60972798,62830412,64711821,66617606
Thailand,THA,"Population, total",SP.POP.TOTL,71641484,71727332,71735329,71702435
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1326053,1350139,1369295,1384286
Togo,TGO,"Population, total",SP.POP.TOTL,8669720,8878379,9089738,9304337
Tonga,TON,"Population, total",SP.POP.TOTL,105704,105490,105042,104597
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1366725,1367558,1365805,1367510
Tunisia,TUN,"Population, total",SP.POP.TOTL,11974057,12048622,12119334,12200431
Turkiye,TUR,"Population, total",SP.POP.TOTL,83384680,84147318,84979913,85325965
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6949912,7092043,7230193,7364438
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,44386,45243,45847,46198
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10399,10194,9992,9816
Uganda,UGA,"Population, total",SP.POP.TOTL,44457152,45910930,47312719,48656601
Ukraine,UKR,"Population, total",SP.POP.TOTL,44680014,44298640,41048766,37732836
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9401038,9575152,10074977,10483751
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66744000,66984000,67604000,68492000
United States,USA,"Population, total",SP.POP.TOTL,331577720,332099760,334017321,336806231
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2785181241,2796326198,2803432387,2809441887
Uruguay,URY,"Population, total",SP.POP.TOTL,3398968,3396695,3390913,3388081
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33586372,34243696,34938955,35652307
Vanuatu,VUT,"Population, total",SP.POP.TOTL,298858,305868,313046,320409
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28444077,28237826,28213017,28300854
Viet Nam,VNM,"Population, total",SP.POP.TOTL,98079191,98935098,99680655,100352192
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290,105870,105413,104917
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4803269,4922749,5043612,5165775
World,WLD,"Population, total",SP.POP.TOTL,7855075060,7920861888,7990399768,8064976601
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,36134863,37140230,38222876,39390799
Zambia,ZMB,"Population, total",SP.POP.TOTL,19059395,19603607,20152938,20723965
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15526888,15797210,16069056,16340822
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: Population estimates and projections,,,,,,,
Last Updated: 07/02/2025,,,,,,,
